source,provider,tweet_raw,tweet_processed,pos_count,neg_count,label
playstore,telkomsel,"halo Telkomsel kenapa kalau PLN mati jaringan Telkomsel juga mati? kendala nya apa ya? sudah sering sekali seperti itu, sementara provider lain kalau PLN mati jaringan nya tetap ada.",halo telkomsel pln mati jaring telkomsel mati kendala provider pln mati jaring,3,4,0
playstore,telkomsel,bagus,bagus,1,0,1
playstore,telkomsel,oi bisa ga si jaringan lu tiap malam ga ngeleg gw mau push renk ajgg,oi si jaring malam lambat push renk anjing,1,3,0
playstore,telkomsel,telkomsel skarang leletnya minta ampun. mw buka aplikasi telkomsel sndri aja lama bngt apalgi mw hubungi cs telkomsel. sulit dan lelet bngt. terpaksa ku hapus aplikasi telkomsel berat bngt di gunnakan. loading trs,telkomsel skarang lelet ampun buka aplikasi telkomsel apalgi hubung cs telkomsel sulit lelet paksa ku hapus aplikasi telkomsel berat gunnakan loading,0,7,0
playstore,telkomsel,layanan dan promonya terbaik pertahankan min,layan promonya baik tahan min,1,0,1
playstore,telkomsel,makin lama makin kesini beli paket telkomsel mahal...,kesini beli paket telkomsel mahal,1,1,0
playstore,telkomsel,ini daerah galaksi Telkomsel jelek banget sinyalnya... maki gak bagus jaringannya.,daerah galaksi telkomsel jelek sinyal maki bagus jaring,2,2,0
playstore,telkomsel,aku tak pernah dapat hadiah,hadiah,1,0,1
playstore,telkomsel,"jaringannya tidak stabil blakangan ini dari minggu kmren , sudah mahal jaringan tidak bagus bts tidak ada .. saya sebagai customer lama sampai sinyal sudah prioritas tetap jaringannya tidak stabil. makin lama makin ga jelas . kwalitasnya benerin . cape komplain tetep saja ga bergerak . kecewaaaaaa 2026 ini paling buruk",jaring stabil minggu kemarin mahal jaring bagus bts customer sinyal prioritas jaring stabil kwalitasnya baik cape komplain gerak kecewaaaaaa buruk,7,4,1
playstore,telkomsel,"aplikasi sering error, ga ada notif tau tau kuota abis",aplikasi error notif tau tau kuota abis,0,5,0
playstore,telkomsel,bagus bgt,bagus,1,0,1
playstore,telkomsel,"di kampung saya tuh sinyal Telkomsel kurang bagus , di layar full 4G, tapi tidak bisa untuk vidio call. setelah update selalu bug , keluar aplikasi sendiri.",kampung tuh sinyal telkomsel bagus layar full vidio call update bug aplikasi,1,1,0
playstore,telkomsel,mantap,mantap,1,0,1
playstore,telkomsel,"makin kesini makin mahal payah, sinyal makin bapuk buat game ngelag terus ngebug makin mahal makin jelek ini kartu ngelunjak!!",kesini mahal payah sinyal jelek game lambat ngebug mahal jelek kartu ajar,1,6,0
playstore,telkomsel,tolong diperhatikan daerah labuhan baru sering lelet jaringan,tolong perhati daerah labuh lelet jaring,2,1,1
playstore,telkomsel,tolol,tolol,0,1,0
playstore,telkomsel,"jaringan tidak bagus, Kouta mahal dan cpt hbis",jaring bagus kuota mahal cepat habis,3,2,1
playstore,telkomsel,Telkomsel gk jelas masa punya pulsa sama kuota yg di sedot pulsanya dulu kocak,telkomsel pulsa kuota sedot pulsa kocak,0,5,0
playstore,telkomsel,sangat Baik Sangat Bagus,bagus,1,0,1
playstore,telkomsel,sangat bagus dan penting,bagus,1,0,1
playstore,telkomsel,"Udah kikir lemot lagi, harga elit sinyal sulit giliran protes yg nanggepin cuma BOT yg ga ada gunanya samsek. apa coba ini kartu taii",kikir lot harga elit sinyal sulit gilir protes nanggepin bot guna samsek coba kartu tahi,3,5,0
playstore,telkomsel,"apasi sering lag, padahal kata orang orang kartu paling bagus, nyata nya kualitas nya kurang banget, cuman di kota kota besar doang yang dapet sinyal bagus, seburuk itu kah sinyal di Indonesia sampe yang paling bagus aja masih tergolong kureng",apas lag orang orang kartu bagus nyata kualitas cuman kota kota doang dapet sinyal bagus buruk kah sinyal indonesia sampe bagus golong reng,5,3,1
playstore,telkomsel,"kenapa waktu mau beli paket malah ga bisa diakses ya, apa udah ga tersedia? diperbaiki dong Telkomsel.",beli paket akses sedia baik telkomsel,4,0,1
playstore,telkomsel,"Pihak INDIHOME tolong jangan Batasi Bandwith, maksudnya apa? biar jaringan lemot dan tidak berjalan semestinya sesuai paket mbpsnya????? Kami tidak bodoh!!!",indihome tolong batas bandwith maksud biar jaring lot jalan mesti sesuai paket mbpsnya bodoh,3,4,0
playstore,telkomsel,kauota mahal lemot,kauota mahal lot,0,2,0
playstore,telkomsel,sinyalnya lemot,sinyal lot,0,1,0
playstore,telkomsel,sinyal nya dari dulu sampe tahun 2026 masih kaya sipit mahal lelet kereta lewat sinyal langsung ilang di mall sinyal ilang kan lu pada kerja apaan Telkomsel,sinyal sampe kaya sipit mahal lelet kereta sinyal langsung ilang mall sinyal ilang kerja telkomsel,2,5,0
playstore,telkomsel,jaringan ampas,jaring ampas,1,1,0
playstore,telkomsel,ga jelas penanganan lama kebanyakan alasan,tangan banyak alas,1,0,1
playstore,telkomsel,"sering force close, sangat lambat dan terasa berat ketika memuat data. sorry gw hapus apknya.",force close lambat berat muat data sorry hapus apknya,0,5,0
playstore,telkomsel,udah jelek tambah jelek,jelek jelek,0,2,0
playstore,telkomsel,ini Telkomsel sdh paling mahal paket data nya jaringan nya Pi lagi nda stabil harga paket elit jaringan sulit memang uang saja yg ko mau perbaiki jaringan nya nda mau,telkomsel sdh mahal paket data jaring pi stabil harga paket elit jaring sulit uang ko baik jaring,8,3,1
playstore,telkomsel,"SIGNAL DATANYA MAKIN BURIK.. APALAGI SETIAP HABIS HUJAN, SEPERTI TURET NYA ROBOH, LEMOT UNTUK INTERNET!!",signal data burik habis hujan turet roboh lot internet,0,3,0
playstore,telkomsel,"sumpah gw bener bener kesel, pengen isi kuota tulisannya ""halaman web tidak tersedia"" kalian dongo atau gmn sih?",sumpah bener bener kesel ken isi kuota tulis halaman web sedia dongo gmn,1,2,0
playstore,telkomsel,lemot bgt skrg. mau pembayaran data di menu metode pembayaran hampir 30 mnt loading aja terus,lot skrg bayar data menu metode bayar mnt loading,0,3,0
playstore,telkomsel,simpati ngeleg. mahal doang beli paketan. tapi kualitas sinyal buruk. hp baru padahal selalu di restart ulang tetep aja ngeleg mulu,simpati lambat mahal doang beli paket kualitas sinyal buruk hp restart ulang lambat mulu,2,4,0
playstore,telkomsel,"bingung liatnya, di apk masih banyak kuota tapi gk bisa dipake, dan pas di cek di *888* kuotanya udh habis",bingung liat apk kuota dipake pas cek kuota habis,1,3,0
playstore,telkomsel,Udah cpek sy seting aplikasi ini msih jg ttp g bisa bdhl sy plnggn paket halo,cpek ting aplikasi msih ttp bdhl plnggn paket halo,2,1,1
playstore,telkomsel,"Buat kirim pulsa antar nomer untuk yang ketiga kalinya malah eror, kocak banget aplikasinya nih",kirim pulsa nomer tiga kali eror kocak aplikasi,1,4,0
playstore,telkomsel,za mau beli pulsa telepon,za beli pulsa telepon,0,1,0
playstore,telkomsel,saya sudah pernah menggunakan tp terhapus,hapus,0,1,0
playstore,telkomsel,"aplikasi ga jelas pengen beli kuota aja kaga bisa bisa muter bae padahal beli kuota nya pake telkomsel juga tapi muter bae, padahal rumah udh deket tower telkomsel tapi aplikasi nya muter bae minimal di perbaikin jadi ribet beli kuota harus nunggu lama terus",aplikasi ken beli kuota kaga muter bae beli kuota pake telkomsel muter bae rumah deket tower telkomsel aplikasi muter bae minimal perbaikin ribet beli kuota nunggu,3,7,0
playstore,telkomsel,"masa tiap malem internet nya selalu ngelek,beli mahal² cuman dapet internet ngelek ,sering banget internet ngilang,padahal Internet nya masih banyak😠",malem internet ngelek beli mahal cuman dapet internet ngelek internet ngilang internet,1,3,0
playstore,telkomsel,sinyal kuat,sinyal kuat,1,0,1
playstore,telkomsel,"emang kikir nih telkomsel,kuota aja mahal sinyal gada ilang ilangan. kuota aja yang di mahalin sinyal ampas",emang kikir telkomsel kuota mahal sinyal gada ilang ilangan kuota mahalin sinyal ampas,1,5,0
playstore,telkomsel,makin buruk!!,buruk,0,1,0
playstore,telkomsel,bulan ini jaringan nya jelek banget tolooong😭 sayang banget beli kuota banyak gk bisa dipake. Bener-bener nguras kesabaran iiih,jaring jelek tolooong sayang beli kuota dipake bener bener nguras sabar iiih,2,2,0
playstore,telkomsel,sangat bagus,bagus,1,0,1
playstore,telkomsel,"woy ajng, benerin dulu sinyal ini bgst. kuota mahal buat apa kalau sinyal ilang2an telkom ajg. kebiasaan monopoli pengguna mentang2 punya negara. makan duit haram lo semua.",woy ajng baik sinyal bgst kuota mahal sinyal ilang an telkom ajg biasa monopoli guna mentang negara makan duit haram,3,4,0
playstore,telkomsel,sinyal buruk,sinyal buruk,0,1,0
playstore,telkomsel,"tolong untuk telkom bagian Pekanbaru, jaringan nya di perbaiki, jangan cuman harga aja yg mahal, kualitas di bawah",tolong telkom pekanbaru jaring baik cuman harga mahal kualitas,4,1,1
playstore,telkomsel,paket mahal kali,paket mahal kali,1,1,0
playstore,telkomsel,"jaringan selalu jelek, setiap komplen bales gak jelas . paket mahal lag",jaring jelek komplen bales paket mahal lag,2,3,0
playstore,telkomsel,Lebih Banyak Promo Lebih Seru,promo seru,1,0,1
playstore,telkomsel,aplikasi ini sangat membantu. dan beli pulsa dan beli paket jadi lebih mudah,aplikasi bantu beli pulsa beli paket mudah,2,2,0
playstore,telkomsel,oke,oke,1,0,1
playstore,telkomsel,membingungkan sekarang kurang simple,bingung simple,1,0,1
playstore,telkomsel,"aku sudah beberapa kali pulsa kepotong waktu isi pulsa, dicek *888*77# biaya akses internet terakhir anda rp sekian. padahal jaringan data dimatikan, inikan nyolong namanya. Tolong kalau ambil pulsa tu pilih pejabat saja, jangan aku.",kali pulsa potong isi pulsa cek biaya akses internet rp sekian jaring data mati ini nyolong nama tolong ambil pulsa tu pilih jabat,2,11,0
playstore,telkomsel,aplikasi nya Sangat lemot padahal jaringan sy bagus,aplikasi lot jaring bagus,2,2,0
playstore,telkomsel,memuaskan,muas,1,0,1
