"css-175oi2r href","css-9pa8cd src","css-1jxf684","r-4qtqp9 src","css-1jxf684 2","css-1jxf684 3","css-146c3p1 href","css-146c3p1","css-1jxf684 4","css-1jxf684 5","css-1jxf684 6","css-1jxf684 7","css-175oi2r href 4","css-1jxf684 8","r-4qtqp9 src 2","css-1jxf684 9","css-1jxf684 10","r-4qtqp9 src 3","css-1jxf684 11","css-1jxf684 12","css-146c3p1 2","css-1jxf684 href 4","css-1jxf684 14","css-9pa8cd src 3","r-1p0dtai src"
"https://x.com/soberberries","https://pbs.twimg.com/profile_images/1962904081040617473/xsaX24Bt_normal.jpg","sarah seymour","https://abs.twimg.com/emoji/v2/svg/1f56f.svg","@soberberries","·","https://x.com/soberberries/status/2052760975011651802","4h","Ini","Indosat","gangguan kah?","1","https://x.com/soberberries/status/2052760975011651802/analytics","89","","","","","","","","","","",""
"https://x.com/ninandyh","https://pbs.twimg.com/profile_images/1996212303151403009/B2mlioZh_normal.jpg","Nin","","@ninandyh","·","https://x.com/ninandyh/status/2052708348324405745","8h","ini sinyal","indosat","knp tiba2 gabisa buat internetan sih","1","https://x.com/ninandyh/status/2052708348324405745/analytics","242","https://abs.twimg.com/emoji/v2/svg/1f620.svg","2","","","","","","","","",""
"https://x.com/putri_uthi2026","https://pbs.twimg.com/profile_images/1826156226486611970/AElFeKXG_normal.jpg","Uthie","","@putri_uthi2026","·","https://x.com/putri_uthi2026/status/2052765393069174974","4h","Gimana untuk jadwal teknisi nya
Ini sudah seharian loh dari pagi nggak ada koneksi dengan modem tetap menyala
Kalau tidak bisa tolong kembalikan saja uang saya yg kemarin saya bayar WiFi nya
Saya mau pindah provider lain nya
After sales","Indosat","gimana ni","","https://x.com/putri_uthi2026/status/2052765393069174974/analytics","44","","","@HiFicare","","","","","","","",""
"https://x.com/Sleafig_0110","https://pbs.twimg.com/profile_images/2035159731740827650/qxVRzx8y_normal.jpg","NiteGirl_4869","","@Sleafig_0110","·","https://x.com/Sleafig_0110/status/2052716348502065304","7h","IM3 kenapa sinyalnya ilang timbul","","","1","https://x.com/Sleafig_0110/status/2052716348502065304/analytics","126","https://abs.twimg.com/emoji/v2/svg/1f62e-200d-1f4a8.svg","","","https://abs.twimg.com/emoji/v2/svg/1f611.svg","@indosat","","","","","",""
"https://x.com/pert0212","https://pbs.twimg.com/profile_images/1792497704301658112/G28kYlDf_normal.jpg","jeannn","","@pert0212","·","https://x.com/pert0212/status/2052769997920055792","4h","gangguan kah ?","indosat","","","https://x.com/pert0212/status/2052769997920055792/analytics","12","","","","","","","","","","",""
"https://x.com/emble953574","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","emble","","@emble953574","·","https://x.com/emble953574/status/2052743644734722401","5h","halo ini kenapa kartu m3 saya tiba tiba mati ya. Sinyal gak keluar dan gak bisa dihubungi","","","1","https://x.com/emble953574/status/2052743644734722401/analytics","49","","","","","@indosat","","","","","",""
"https://x.com/anggotaanasa","https://pbs.twimg.com/profile_images/2037734023288832000/WjKLIbCE_normal.jpg","beey","https://abs.twimg.com/emoji/v2/svg/1f340.svg","@anggotaanasa","·","https://x.com/anggotaanasa/status/2052718942331031564","7h","lagi kenapa sih? ga bisa dipake buat internetan","indosat","","","https://x.com/anggotaanasa/status/2052718942331031564/analytics","72","","","","","","","","","","",""
"https://x.com/gloomysundai","https://pbs.twimg.com/profile_images/1543327434614788096/xeiuTEvb_normal.jpg","ai","","@gloomysundai","·","https://x.com/gloomysundai/status/2052777824852099389","3h","kak wifinya merah kak ini complain kemana ya?","","","1","https://x.com/gloomysundai/status/2052777824852099389/analytics","25","","","","","@indosat","","","","","",""
"https://x.com/heedoyaaa","https://pbs.twimg.com/profile_images/1955467012970516483/lfJYB7N3_normal.jpg","nab","","@heedoyaaa","·","https://x.com/heedoyaaa/status/2052748298889605591","5h","plis knpsih gabisa internetan","Indosat","","1","https://x.com/heedoyaaa/status/2052748298889605591/analytics","99","","","","","@indosat","","","","","",""
"https://x.com/YTslea","https://pbs.twimg.com/profile_images/1644276160107515904/mTzkW892_normal.jpg","ً","","@YTslea","·","https://x.com/YTslea/status/2051858735681974464","May 6","WTB kuota","Indosat","","7","https://x.com/YTslea/status/2051858735681974464/analytics","672","","1","","","","#zonauang","","","","",""
"https://x.com/midnightlunev","https://pbs.twimg.com/profile_images/1978161482329370624/M0prMpiQ_normal.jpg","v","","@midnightlunev","·","https://x.com/midnightlunev/status/2051230284549587259","May 4","Ini kenapa ya","indosat","signalnya bisa jelek bgt sampe E? Bar nya juga cuma 2, gabisa buat intenetan","5","https://x.com/midnightlunev/status/2051230284549587259/analytics","1.6K","","9","@indosatim3","","@indosat","","","","","",""
"https://x.com/indosat","https://pbs.twimg.com/profile_images/2039626569426317312/ufIaht8Q_normal.jpg","Indosat Ooredoo Hutchison","","@indosat","·","https://x.com/indosat/status/2052702186279239772","8h","Hai Kak, maaf atas pengalamannya ya, untuk pengecekan lebih lanjut, bisa infokan nomor IM3 dan detailnya via DM ya. Aku tunggu konfirmasinya. Terima kasih^Yuji","","","1","https://x.com/indosat/status/2052702186279239772/analytics","111","","","","","","","Replying to","https://x.com/Agen_properti_","@Agen_properti_","",""
"https://x.com/Sleafig_0110","https://pbs.twimg.com/profile_images/2035159731740827650/qxVRzx8y_normal.jpg","NiteGirl_4869","","@Sleafig_0110","·","https://x.com/Sleafig_0110/status/2052717271773294656","7h","","Indosat","ini kenapa sinyalnya ilang timbul terus dari tadi","","https://x.com/Sleafig_0110/status/2052717271773294656/analytics","59","https://abs.twimg.com/emoji/v2/svg/1f62e-200d-1f4a8.svg","","@indos","https://abs.twimg.com/emoji/v2/svg/1f611.svg","","","","","","",""
"https://x.com/PusRinii","https://pbs.twimg.com/profile_images/1161502088737767430/qx1SiEFY_normal.jpg","Puspita Rini Sobari","","@PusRinii","·","https://x.com/PusRinii/status/2052749000974176661","5h","IM3 anak saya error lagi jaringannya di rumah.","Indosat","kenapa ya ga stabil banget koneksinya dirumah saya. Udah langganan paket besar tapi malah jelek banget koneksinya.","","https://x.com/PusRinii/status/2052749000974176661/analytics","68","","","@CareIM3","","","","","","","",""
"https://x.com/igotsan","https://pbs.twimg.com/profile_images/2052028234301403136/cvsnl4za_normal.jpg","pepi indosat","https://abs.twimg.com/emoji/v2/svg/1f345.svg","@igotsan","·","https://x.com/igotsan/status/2052742459629932875","5h","iya lagiii","","","1","https://x.com/igotsan/status/2052742459629932875/analytics","32","https://abs.twimg.com/emoji/v2/svg/1f62d.svg","","","https://abs.twimg.com/emoji/v2/svg/1f62d.svg","","","Replying to","https://x.com/foriwoof","@foriwoof","",""
"https://x.com/indosat","https://pbs.twimg.com/profile_images/2039626569426317312/ufIaht8Q_normal.jpg","Indosat Ooredoo Hutchison","","@indosat","·","https://x.com/indosat/status/2050561932864770455","May 2","Hai Kak, maaf buat aksesnya. Coba OFF ON HPnya dulu yuk, jika masih sama silakan bisa infokan nomor IM3, lokasi (Jalan, Kelurahan, Kecamatan, Kota), dan sinyal bar yang muncul melalui DM, agar dapat aku bantu lebih lanjut. Terima kasih^Adis","","","2","https://x.com/indosat/status/2050561932864770455/analytics","298","","","","","","","Replying to","https://x.com/toztanoyzz","@toztanoyzz","",""
"https://x.com/rdtbt27","https://pbs.twimg.com/profile_images/1972910842783113216/PTTzHFzd_normal.jpg","Shirogane Arata","","@rdtbt27","·","https://x.com/rdtbt27/status/2052823249629937824","37m","Kalau aku paling masuk itu bonus cloud 200gb selama 180 hampir setengah tahun. Emang lagi baik","Indosat","ni","","https://x.com/rdtbt27/status/2052823249629937824/analytics","","","","","","","","Replying to","https://x.com/layoutbuatkamu","@layoutbuatkamu","",""
