"css-175oi2r href","css-9pa8cd src","css-1jxf684","css-1jxf684 2","css-1jxf684 3","css-146c3p1 href","css-146c3p1","css-1jxf684 4","css-1jxf684 5","css-1jxf684 6","css-1jxf684 7","css-175oi2r href 4","css-1jxf684 8","css-1jxf684 9","css-1jxf684 href","css-1jxf684 10","css-1jxf684 12","css-1jxf684 13","css-1jxf684 15","css-146c3p1 2","css-1jxf684 href 2","css-1jxf684 16","r-4qtqp9 src 3","r-4qtqp9 href"
"https://x.com/alfiakhfa","https://pbs.twimg.com/profile_images/2017887895311593472/DHmyRU6F_normal.jpg","Akhfa","@alfiakhfa","·","https://x.com/alfiakhfa/status/2052693984531898411","9h","Sinyal","telkomsel","lagi jelek bngt ya, padahal di jakarta","1","https://x.com/alfiakhfa/status/2052693984531898411/analytics","77","","","","","","","","","","",""
"https://x.com/stupaduka","https://pbs.twimg.com/profile_images/2001149137610567680/YsyTjANd_normal.jpg","pepsi cola","@stupaduka","·","https://x.com/stupaduka/status/2052785269087326214","2h","","sinyal","gw jelek bgt padahal ini setiabudi samping sudirman loh gw ini bukan di sawah atau gunung, kuota masi banyak juga, gedeg bgt sampe ngirim wa suka pending dulu","1","https://x.com/stupaduka/status/2052785269087326214/analytics","37","@Telkomsel","https://x.com/Telkomsel","ngapa deh","","","","","","","",""
"https://x.com/Raihan1212x","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","Raihan","@Raihan1212x","·","https://x.com/Raihan1212x/status/2052755851723808827","4h","","sinyal","makin jelek, itu maksudnya gimna? Provider apa? Bikin orng emosi mulu","1","https://x.com/Raihan1212x/status/2052755851723808827/analytics","38","@Telkomsel","https://x.com/Telkomsel","paketan makin mahal tapi","ente setan","","","","","","",""
"https://x.com/lempengbumii","https://pbs.twimg.com/profile_images/2015524563065667585/ULabXSzj_normal.jpg","Che","@lempengbumii","·","https://x.com/lempengbumii/status/2052717536425513471","7h","sinyal","sinyal","sama sekali, bener-bener sengga ada","","https://x.com/lempengbumii/status/2052717536425513471/analytics","11","@Telkomsel","https://x.com/Telkomsel","Gila apa ya dari kemarin ga ada","itu, udah mahal,","bapuk. Ga jelas sumpah, bikin betee","","","","","",""
"https://x.com/babysniperwifey","https://pbs.twimg.com/profile_images/1967613064884482048/xKh1bf8n_normal.jpg","──୨pobmek.solarৎ──","@babysniperwifey","·","https://x.com/babysniperwifey/status/2052703695876600043","8h","telkomsel","sinyal","nya gakuat","1","https://x.com/babysniperwifey/status/2052703695876600043/analytics","124","@Telkomsel","https://x.com/Telkomsel","lagi gangguan kah? gue dari siang gak stabil banget","","","","","","","",""
"https://x.com/abcdoremikkot","https://pbs.twimg.com/profile_images/2050892395961819136/ZI4_F6dy_normal.jpg","| 𝓳𝓲𝓼𝓸𝓸 &𝓵𝓲𝓷𝓰𝓸𝓻𝓶","@abcdoremikkot","·","https://x.com/abcdoremikkot/status/2052751865557987607","5h","telkomsel","sinyal","sama sekali ????","2","https://x.com/abcdoremikkot/status/2052751865557987607/analytics","121","","","kenapasi gaada","","","","","","","",""
"https://x.com/Xbacottetangga","https://pbs.twimg.com/profile_images/2018253892765818880/72LluTDA_normal.jpg","BACOT","@Xbacottetangga","·","https://x.com/Xbacottetangga/status/2052561794909249891","17h","Telkomsel","sinyal","sulit","11","https://x.com/Xbacottetangga/status/2052561794909249891/analytics","1.2K","","","sekarang : harga paketan selangit","","","","","","","",""
"https://x.com/jungyongie","https://pbs.twimg.com/profile_images/1333295623529926656/bDQn6Hyz_normal.jpg","aru","@jungyongie","·","https://x.com/jungyongie/status/2052718988984267188","7h","","sinyal","internet jelek bgt udh beberapa hari ini, cek dm ya udah aku sertakan no hp dan lokasi","1","https://x.com/jungyongie/status/2052718988984267188/analytics","52","@Telkomsel","https://x.com/Telkomsel","min tolong","","","","","","","",""
"https://x.com/negativisme","https://pbs.twimg.com/profile_images/430546541820907520/v4tSGyeZ_normal.png","NEG","@negativisme","·","https://x.com/negativisme/status/2052318990161313917","May 7","Sinyal","","kok jelek mulu ya?","3","https://x.com/negativisme/status/2052318990161313917/analytics","873","@Telkomsel","https://x.com/Telkomsel","","","","","","","","",""
"https://x.com/susothekitten","https://pbs.twimg.com/profile_images/1638274150174441472/tBPcLaJ8_normal.jpg","Gurita Malam","@susothekitten","·","https://x.com/susothekitten/status/2052638549133205638","12h","sinyal","","busuk, busuknya busuk kaliii","","https://x.com/susothekitten/status/2052638549133205638/analytics","16","@Telkomsel","https://x.com/Telkomsel","kau sudah tak dm, gaada balasanmu, paketmu mahal tapi","","","","","","","",""
